Name,Markets Seeking,Locations Seeking
Taavet Hinrikus,"Agriculture,Analytics,Application Platforms,Automotive,Big Data,Collaboration,Consumer Internet,Consumers,Content,Digital Media,E-Commerce,Farming,Financial Services,Life Sciences,Marketplaces,Mobile,P2P Money Transfer,Photography,Productivity Software,Publishing,SaaS,Small and Medium Businesses,Social CRM,Social Games,Social Media","Asia,Eastern Europe,Europe,London,New York,Singapore,Tallinn,Western Europe,Zurich"
Paul Lee,"Consumer Internet,Digital Media,Mobile,Sales and Marketing","Chicago,Illinois,New York City,Silicon Valley"
Dave Cotter,,
Jake Flomenberg,"Analytics,B2B,Big Data,Big Data Analytics,Business Analytics,Business Intelligence,Cloud Computing,Cloud Data Services,Commercial Real Estate,Consumer Electronics,Data Mining,Design,Enterprise Software,Financial Services,Hardware,Information Technology,Investment Management,Machine Learning,Marketplaces,Networking,Predictive Analytics,Real Estate,Rental Housing,SaaS,Search,Security,Small and Medium Businesses,Software,Storage,Visualization","New York,Palo Alto,Silicon Valley"
Khaliq Gant,,"New York,San Francisco"
chris tottman,"B2B,E-Commerce,Enterprise Software,Mobile,Mobile Commerce,SaaS,Supply Chain Management","United Kingdom,United States"
Rich Boyle,"Analytics,Automotive,B2B,Big Data,Big Data Analytics,Business Analytics,Clean Technology,Cloud Infrastructure,Consumer Electronics,Consumer Internet,Databases,E-Commerce,Energy,Enterprise Software,Hardware,Marketplaces,Mobile,Predictive Analytics,Real Estate,Security","Los Altos Hills,Los Angeles,New York,Silicon Valley"
Sahadeva Hammari,,New York City
Tanya Luchyno,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Belarus,Kazakhstan,Kiev,Russia,Ukraine"
Shashank P S,"Advertising,Analytics,Apps,B2B,Bridging Online and Offline,Cloud Computing,Cloud Data Services,Cloud Infrastructure,Consumer Internet,Credit Cards,Databases,E-Commerce,Enterprise Software,Internet Infrastructure,Lotteries,Mobile,Mobile Advertising,Mobile Payments,Payments,Point of Sale,Retail Technology,SaaS,Social Commerce,Tablets","Europe,Mumbai,New Delhi,Silicon Valley,Singapore"
Rob Hayes,"Advertising Platforms,Cloud Computing,Consumer Internet,Information Technology,Mobile","Boulder,Los Angeles,Portland,San Francisco,Seattle,Silicon Valley,United States"
Jeff Prober,"B2B,E-Commerce,Enterprise Software,Google Glass,Mobile,SaaS",New York City
Corey Reese,,Los Altos
Rob Seaver,"Clean Technology,Communications Infrastructure,Consumer Internet,Mobile,Video Games","Boston,New York City,San Francisco"
Jim Ritchie,"E-Commerce,Social Commerce,Social Games,Specialty Foods,Ventures for Good","San Francisco,Silicon Valley"
Vineet Mehta,"Information Technology,Transportation",Menlo Park
porteous,,
Sean Harper,"E-Commerce,Payments,SaaS,Small and Medium Businesses","Chicago,San Francisco"
Michael Goldberg,,
Glenn Poppe,"Consumers,Education,Entertainment,Finance,Health and Wellness,Information Technology,Media,Platforms,Restaurants,Retail,Sales and Marketing,Travel,Ventures for Good",Los Angeles
Nicolas Wittenborn,"Consumer Internet,Marketplaces,Mobile,SaaS","Canada,Europe,Germany,North America,Poland"
Adam Kaufman,,
James Clardy,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Laurence Jankelow,,
Alex Finkelstein,"Information Technology,Media","Boston,New York City,Silicon Valley"
georgia,,
David Scanlon,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Alexa Binns,E-Commerce,Silicon Valley
Safwan Shah,,
Mike Ghaffary,"Advertising Platforms,Audio,Consumer Electronics,Consumer Internet,Enterprise Software,Hardware,Internet Radio,Local,Local Coupons,Mobile,Mobile Advertising,Online Video Advertising,Reviews and Recommendations,Search,Security","San Francisco,Silicon Valley"
Brian Hirsch,"Consumer Internet,Digital Media,Education,Financial Services,Media","New York,New York City"
Matthew Mausner,,
Greg Carter,"Advertising,Beauty,Big Data,Commercial Real Estate,Consumer Internet,Content Discovery,Credit,Developer APIs,Digital Media,E-Commerce,Financial Exchanges,Financial Services,Health Care Information Technology,Marketplaces,Mobile,Open Source,Predictive Analytics,Retail,SaaS,Sales and Marketing,Search,Social Commerce,Social Media,Social Media Platforms","Europe,Israel,London,United Kingdom"
Katie Hughes,,San Francisco
Ben Blumenfeld,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",Silicon Valley
Brandee Barker,"Consumer Internet,Enterprise Software,Mobile,SMS,Social Media,Social News,Travel,Venture Capital,iPhone","Los Angeles,Menlo Park,Silicon Valley"
Andy Sheehan,Information Technology,"Palo Alto,Silicon Valley"
Eugene Chung,"Big Data,Bridging Online and Offline,Collaborative Consumption,Concerts,Crowdsourcing,Digital Media,E-Commerce,Education,Food and Beverages,Information Technology,Journalism,Marketplaces,Mobile,Music,Music Services,Pets,Presentations,Religion,Small and Medium Businesses,Social Media,Social Media Platforms,Video,World Domination,iOS,iPhone","New York City,Washington DC"
Brendan Syron,"Consumer Internet,E-Commerce,Local,Mobile Commerce,Social Commerce","Austin,Boston,New York,Silicon Valley"
ClearlyEnergy,,
Walter Kortschak,"Analytics,B2B,Bridging Online and Offline,CRM,Cloud Computing,Consumer Internet,Content Delivery,E-Commerce,Education,Enterprise Software,Health and Wellness,Human Resources,Information Technology,Kids,Local,Location Based Services,Mobile,Parenting,Recruiting,SaaS,Security,Small and Medium Businesses,Social Media,Textbooks,University Students","San Francisco,Silicon Valley"
David Feinleib,"Health and Wellness,Information Technology,Personal Health","New York City,San Francisco,Silicon Valley"
Niko Waesche,"B2B,Consumer Internet,Deals,Hotels,Marketplaces,Mobile,Recruiting,Small and Medium Businesses,Travel &amp; Tourism","Berlin,Europe"
Tom Nabielec,,
Michael Klein,"Advertising,Advertising Exchanges,Advertising Platforms,Analytics,Application Platforms,Augmented Reality,B2B,Big Data,Casual Games,Cloud Computing,Cloud Data Services,Collaboration,Communities,Consumer Internet,Consumers,Content,Crowdsourcing,Data Mining,Deals,Digital Media,E-Commerce,Education,Educational Games,Enterprise Software,Enterprises,Fashion,Finance,Finance Technology,Financial Exchanges,Financial Services,Games,Health Care Information Technology,Information Technology,Internet,Internet Infrastructure,Internet TV,Local Advertising,Location Based Services,Loyalty Programs,Marketplaces,Mobile,Mobile Advertising,Mobile Commerce,Mobile Coupons,Mobile Games,Mobile Payments,Music,Online Dating,Online Travel,Online Video Advertising,Personal Finance,Photo Sharing,Photography,Productivity Software,Q&amp;A,QR Codes,Quantified Self,Quantitative Marketing,Real Time,Retail,Retail Technology,Reviews and Recommendations,SaaS,Search,Small and Medium Businesses,Social Commerce,Social Games,Social Media,Social Media Platforms,Software,Video Games,Virtual Workforces,Virtualization","District of Columbia,Los Angeles,Massachusetts,Menlo Park,New York City,San Diego,San Francisco,Silicon Valley,Texas,Utah"
Carey Lai,"Consumer Internet,Enterprise Software,Mobile","Austin,New York City,San Francisco,Silicon Valley"
Luis Robles,"B2B,Big Data,Browser Extensions,Cloud Computing,Consumer Goods,Consumers,Databases,Deep Information Technology,Developer Tools,Digital Media,E-Commerce,Education,Enterprise Software,Enterprises,Financial Services,Hardware,Marketplaces,Mobile,PaaS,SaaS,Sales and Marketing,Storage,Web Hosting","Chicago,Earth,Europe,Los Angeles,Massachusetts,New York,North America,San Francisco,Silicon Valley"
Andrew Knez,"Bridging Online and Offline,Collaborative Consumption,Consumer Internet,Consumers,Crowdsourcing,Deals,E-Commerce,Education,Families,Fantasy Sports,Marketplaces,Mobile,Mobile Commerce,Mobile Games,Mobile Payments,Online Travel,Parenting,Productivity Software,Real Estate,Rental Housing,Restaurants,Search,Social Games,Social Media,Sports","Palo Alto,Silicon Valley"
Keith Rabois,"Big Data,Consumer Internet,Education,Information Technology,Loyalty Programs,Marketplaces,Mobile,Social Commerce,Sports","New York,New York City,San Francisco,Silicon Valley"
Adam Goulburn,,"Boston,New York City,Palo Alto,San Francisco"
Jason Stulberg,,
Stephan von Perger,Startups,"Berlin,Europe,London"
Vinnie Lauria,"Advertising Platforms,Classifieds,Consumer Internet,E-Commerce,Internet,Local,Marketplaces,Mobile,Mobile Payments,Payments,Portals","Asia,Bangkok,Hanoi,Indonesia,Jakarta,Kuala Lumpur,Malaysia,Manila,Philippines,Singapore,Thailand,Vietnam"
Aaron Earls,,
Graham Gelwicks,"Analytics,Automotive,Big Data,Drones,SaaS","Los Angeles,San Francisco"
John Sung Kim,"Health Care,SaaS","Austin,San Francisco"
Pierre-Edouard BERION,"Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Finance Technology,Internet,Mobile,SaaS,Social Commerce,Social Media","Europe,Paris,United States"
Daniel McCaffrey,,
Philipp Von Hammerstein,"Advertising,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Internet,Local Advertising,Location Based Services,Mobile,Mobile Advertising,Mobile Commerce,Mobile Games,Mobile Payments,Payments,SaaS,Social Commerce,Social Games,Social Media","Berlin,Boston,Cologne,Europe,France,Frankfurt,Germany,Hamburg,London,Los Angeles,Munich,New York City,Paris,San Francisco,Silicon Valley,United Kingdom,United States,Vallendar"
Kevin Colleran,"Advertising,B2B,Bridging Online and Offline,Cause Marketing,Collaborative Consumption,Consumer Internet,Digital Media,E-Commerce,Lifestyle Businesses,Marketplaces,Mobile,Mobile Games,Nonprofits,Online Gaming,Pets,Politics,Productivity Software,SaaS,Social Commerce,Social Games,Social Media,Ventures for Good","Boston,New York,New York City,Palo Alto,San Francisco,Silicon Valley"
Allan Ziegler,,"Chicago,New York City,San Francisco"
Sonia Sahney Nagar,,New York City
Hamet Watt,"Clean Technology,Collaborative Consumption,Consumer Internet,Crowdsourcing,Enterprise Software,Health Care,Mobile,Quantified Self,Social Commerce,Social Media,Ventures for Good","Los Angeles,United States"
Katherine Barr,"Analytics,Baby Accessories,Big Data,Bridging Online and Offline,Communications Infrastructure,Consumer Behavior,Consumer Goods,Consumer Internet,Content,Custom Retail,Customer Service,Diagnostics,Digital Media,Fitness,Health and Wellness,Identity,Internet,Lifestyle Products,Loyalty Programs,Marketplaces,Messaging,Mobile,Optimization,Outdoors,Parenting,Personal Health,Prediction Markets,Publishing,Retail Technology,Reviews and Recommendations,Sales and Marketing,Software,Virtual Workforces,Weddings,Women-Focused","Los Altos,New York City,Silicon Valley"
Toni Schneider,"Consumer Internet,Information Technology","San Francisco,Silicon Valley"
Prescott Watson,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Boston,Los Angeles,New York City,San Francisco,San Jose,Seattle"
Andy Swan,,"Chicago,Louisville,New York City"
Steve Cardillo,,"New York City,San Francisco"
Rohit Sharma,"Analytics,Big Data,Cloud Infrastructure,Deep Information Technology","India,Palo Alto,Silicon Valley"
Maureen Downey,"Consumer Internet,Deals,Emerging Markets,Health Care",San Francisco
Andres Bilbao,,
Thanasis Delistathis,"Advertising,Audio,Consumer Internet,Digital Media,E-Commerce,Education,Health Care,Internet Radio,Local,Mobile,Mobile Advertising,Social Commerce,Social Media","Boston,New York,New York City,Reston,San Francisco,Silicon Valley"
Ed Roman Test,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Danielle Weinblatt,,"Austin,Boston,Cambridge MA,New York City,Palo Alto,San Francisco,Silicon Valley"
Ken Nesmith,,
Connie Cong Xu,"3D Technology,Consumer Electronics,Consumer Internet,Education,Enterprise Software,Mobile","Boston,New York City,San Francisco,Silicon Valley,Washington DC"
Kevin Swan,"Cloud Computing,Consumer Internet,Consumers,Digital Media,E-Commerce,Enterprise Software,Internet,Internet of Things,Mobile,SaaS,Social Media","Calgary,California,Canada,Edmonton,Montreal,New York City,Portland,San Francisco,Seattle,Silicon Valley,Toronto,Vancouver"
Michael Lazerow,"Advertising,Billing,Blogging Platforms,Collaborative Consumption,Consumer Internet,E-Commerce,E-Commerce Platforms,Education,Enterprise Software,Fashion,Hospitality,Human Resources,Identity Management,Internet,Marketplaces,Real Estate,SaaS,Search Marketing,Social Commerce,Social Media,Social Media Marketing,Social Media Platforms,Software,Supply Chain Management,Venture Capital","Boston,Europe,New York,New York City,Silicon Valley"
Vicky Wu,,"Australia,China,Hong Kong,Indonesia,Japan,Korea,Malaysia,New York City,Philippines,Singapore,Taiwan,Thailand"
Sachin Rekhi,"Contact Management,Productivity Software,Professional Networking,SaaS",San Francisco
Michele Fontolan,,"Amsterdam,London,Los Angeles,New York City,San Diego,San Francisco,San Jose"
Ashish Aggarwal,"E-Commerce,Mobile,Online Gaming,Online Travel,SaaS","Bangalore,Germany,Gurgaon,Mumbai,New Delhi,United Kingdom,United States"
Chris Motley,,
Alex Ho,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",London
Christian Nagel,,
Cecelia Cox,"Consumer Internet,Local,Mobile","Austin,New York,San Francisco"
Bob Metcalfe,"Big Data,Data Mining,Deep Information Technology,E-Commerce,Food and Beverages,Hardware,Information Technology,Mobile,Mobile Games,Networking,Restaurants,Semiconductors,Social Games,Social Media,Specialty Foods,Wireless",Austin
Justin Klein,"Biotechnology,Health Care,Medical,Medical Devices","Atlanta,Boston,Durham,Menlo Park,Orange County,Philadelphia,Phoenix,San Diego,San Francisco,Washington DC"
Lee Ann Daly,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Nicole Farb,"College Recruiting,Consumer Internet,High School Students,Mobile,Sports","Los Angeles,New York,San Francisco,Silicon Valley"
Jack Yang,,"Mountain View,New York City,San Francisco,Silicon Valley"
Shaun Cooley,"Consumer Internet,Cyber Security,Location Based Services,Manufacturing,Mobile,Mobile Payments,Parenting,Payments,Productivity Software,SaaS,Security,Small and Medium Businesses,Social Media,Social Travel,Video,Wireless","Los Angeles,Orange County,Palo Alto,San Diego,San Francisco,San Jose,Silicon Valley,Southern California"
Julien Nakache,,
Russ Howard,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Arya H. Bolurfrushan,"Advertising,Advertising Platforms,Big Data,Career Planning,College Recruiting,Consulting,Consumer Internet,Content,Crowdsourcing,Diagnostics,Digital Media,Doctors,Education,Health Care,Health Care Information Technology,Hospitality,Information Technology,Internet,Mobile,Mobile Advertising,Online Reservations,Recruiting,Restaurants,Social Media,Universities","Dubai,Europe,New York,New York City,Silicon Valley"
Benjamin Sun,Information Technology,"New York City,San Francisco,Silicon Valley"
Reid W. Dennis,Information Technology,Woodside
Joe Floyd,"Enterprise Software,Mobile","Silicon Valley,United States"
Stephen Chandler,,London
Erik Sebastian Bovee,"Consumer Internet,Enterprise Software,Mobile","Europe,North America,Santa Cruz,Vienna"
Rob Wiesenthal,"Consumers,E-Commerce,Education,Mobile,Social Media",New York City
Pooj Preena,"All Markets,Analytics,Big Data,Bridging Online and Offline,Chat,Communities,Data Mining,Enterprise Software,Lifestyle,Machine Learning,Messaging,Mobile,Pets,Social Games,Social Media,Video Chat","Australia,Europe,New Zealand,North America,San Francisco"
Navin Chaddha,"Advertising,Clean Energy,Cloud Computing,Consumer Internet,Deep Information Technology,E-Commerce,Education,Energy Efficiency,Energy IT,Energy Storage,Enterprise Software,Information Technology,Infrastructure,Internet,Marketplaces,Mobile,Mobile Commerce,Mobile Payments,SaaS,Social Media,Storage,Video","Menlo Park,New York City,San Francisco,Silicon Valley"
Kent Bennett,"Analytics,Application Platforms,B2B,Big Data,Big Data Analytics,Bridging Online and Offline,Business Analytics,Business Information Systems,Business Intelligence,Business Productivity,Business Services,CRM,Cloud Computing,Cloud Data Services,Cloud Infrastructure,Cloud Management,Data Integration,Data Mining,Databases,Enterprise Resource Planning,Enterprise Software,Flash Storage,Hardware,Information Technology,Internet Infrastructure,Mobile Analytics,Networking,Predictive Analytics,Productivity Software,SaaS,Storage,Text Analytics","Boston,Chicago,Earth,Europe,Los Angeles,Massachusetts,New York,North America,Silicon Valley"
